method_or_rung,metric,n_seeds,higher_is_better,final_window_mean_iqm,final_window_mean_ci_lo,final_window_mean_ci_hi,final_window_mean_mean,final_window_mean_std,best_iqm,best_ci_lo,best_ci_hi,best_mean,best_std
ablation_no_mmicrl,actor_loss,10,False,-0.0027319704999999995,-0.002983203428571429,-0.0021304806666666664,-0.002600286,0.00047291606596237926,-0.10043175,-0.102505,-0.09773461071428571,-0.10112379999999999,0.0048181290698084585
ablation_no_mmicrl,constraint_recovery_time,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_mmicrl,cost_critic_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_mmicrl,cost_ema,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_mmicrl,critic_loss,10,False,6.6361416989999995,6.161334984000001,6.990364554835714,6.5948308186,0.43130936275201104,3.07958,2.9114355,3.2209528,3.0707478000000004,0.17393798554644568
ablation_no_mmicrl,cumulative_cost,10,False,22.1815,21.211,24.448059999999998,22.7408,1.920730925686596,0.0,0.0,0.0,0.0,0.0
ablation_no_mmicrl,cumulative_reward,10,True,-1385.5810508060001,-1396.7355644957001,-1381.0921276325714,-1388.6329427502,9.25987378595243,-1275.6502955,-1278.709304375,-1272.002403,-1275.5050032,3.755242232287496
ablation_no_mmicrl,ecbf_interventions,10,False,10358.496500000001,10357.4944,10359.584399999998,10358.3322,1.5049055931998496,6745.25,6518.833333333333,6814.857142857143,6693.0,180.62053531583217
ablation_no_mmicrl,entropy,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_mmicrl,forced_rest_rate,10,,0.8119363230000001,0.8118691280000001,0.8120175882857142,0.8119231626000001,0.00010937652554586557,nan,nan,nan,nan,nan
ablation_no_mmicrl,jain_fairness,10,True,0.9999990625000001,0.9999990273333336,0.9999991432000002,0.9999990784000001,6.639812578947482e-08,1.0,1.0,1.0,1.0,0.0
ablation_no_mmicrl,lambda,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_mmicrl,lazy_agent_flag,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_mmicrl,peak_fatigue,10,False,0.69478782265,0.6947313268099999,0.6948517816942857,0.6947971610000001,9.090368536517685e-05,0.6522605250000001,0.64824678,0.656131996,0.6521975130000002,0.004528192578148723
ablation_no_mmicrl,per_agent_entropy_mean,10,,0.31804804899999994,0.3179016695,0.3186508760757144,0.31817326819999997,0.0005390077884116254,nan,nan,nan,nan,nan
ablation_no_mmicrl,per_agent_entropy_min,10,,0.315245926,0.3151904071428572,0.3154946463333334,0.31532378280000006,0.0002030286442739816,nan,nan,nan,nan,nan
ablation_no_mmicrl,policy_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_mmicrl,safety_autonomy_index,10,,0.3365825575,0.3365745723333333,0.33661298514285715,0.33658743160000004,2.993866488227175e-05,nan,nan,nan,nan,nan
ablation_no_mmicrl,safety_rate,10,True,0.9655687535,0.9626551015785713,0.9665813210687499,0.9649229146000001,0.0021942100775253727,1.0,1.0,1.0,1.0,0.0
ablation_no_mmicrl,tasks_completed,10,True,2602.3059999999996,2602.091,2602.5668571428573,2602.2841999999996,0.3174067842165359,2642.0,2633.8,2655.0,2643.9,12.278707858185513
ablation_no_mmicrl,value_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_mmicrl,violation_rate,10,False,0.007701895,0.007364927,0.008488888692857143,0.007896103400000002,0.0006669179713931509,0.0,0.0,0.0,0.0,0.0
ablation_no_mmicrl,wall_time,10,,5948.381535942,4712.153750830014,5954.511333375428,5516.9102492736,910.5673198183725,nan,nan,nan,nan,nan
